preferred	ensembl	entrez
LPAL2	ENSG00000213071	80350
ENSG00000221218	ENSG00000221218	ENSG00000221218
ZNF501	ENSG00000186446	115560
SIRPA	ENSG00000198053	140885
RNU7-82P	ENSG00000238924	ENSG00000238924
EIF4A2P3	ENSG00000254589	ENSG00000254589
CIAPIN1P	ENSG00000263846	ENSG00000263846
MTCO3P22	ENSG00000270388	ENSG00000270388
FAAHP1	ENSG00000232022	ENSG00000232022
ST7-AS1	ENSG00000227199	93653
DOCK9-AS2	ENSG00000260992	ENSG00000260992
ENSG00000184825	ENSG00000184825	ENSG00000184825
PTMAP8	ENSG00000243014	ENSG00000243014
AC097717.1	ENSG00000232732	ENSG00000232732
AC090971.3	ENSG00000259556	ENSG00000259556
GRIK5	ENSG00000105737	2901
HIST1H2AD	ENSG00000196866	3013
AL358115.1	ENSG00000236364	ENSG00000236364
PLEKHF1	ENSG00000166289	79156
SCARNA5	ENSG00000252010	677775
ANKRD18A	ENSG00000180071	253650
AC027237.2	ENSG00000259215	ENSG00000259215
RN7SL515P	ENSG00000241406	ENSG00000241406
RNU7-40P	ENSG00000252206	ENSG00000252206
RN7SL369P	ENSG00000241542	ENSG00000241542
IL1RN	ENSG00000136689	3557
AL132712.2	ENSG00000258914	ENSG00000258914
AC009119.2	ENSG00000260300	ENSG00000260300
AC073429.1	ENSG00000250665	ENSG00000250665
LINC02145	ENSG00000250490	401172
LRRTM4	ENSG00000176204	80059
AL157823.2	ENSG00000232909	ENSG00000232909
RN7SL666P	ENSG00000240639	ENSG00000240639
AL354710.1	ENSG00000214593	ENSG00000214593
AC022819.1	ENSG00000259921	ENSG00000259921
AL445673.1	ENSG00000231424	ENSG00000231424
AC022559.1	ENSG00000253178	ENSG00000253178
RPL23AP96	ENSG00000250752	ENSG00000250752
AL121769.1	ENSG00000242163	ENSG00000242163
AC004453.1	ENSG00000146677	ENSG00000146677
AC090948.3	ENSG00000272529	ENSG00000272529
DUSP1	ENSG00000120129	1843
LOC100996419	ENSG00000245317	100996419
LINC01567	ENSG00000224310	400511
ABCC9	ENSG00000069431	10060
ENSG00000230903	ENSG00000230903	ENSG00000230903
LOC100506691	ENSG00000256546	100506691
RPL9P9	ENSG00000237550	ENSG00000237550
ATP6V0C	ENSG00000185883	527
ATP5PF	ENSG00000154723	522
IGHV3-11	ENSG00000211941	ENSG00000211941
IGHV4-59	ENSG00000224373	ENSG00000224373
CLOCK	ENSG00000134852	9575
FBXO38	ENSG00000145868	81545
ZNHIT1	ENSG00000106400	10467
ZBP1	ENSG00000124256	81030
SHANK2	ENSG00000162105	22941
E2F2	ENSG00000007968	1870
IMMP1L	ENSG00000148950	196294
IPO7	ENSG00000205339	10527
FAM161B	ENSG00000156050	145483
AC098935.1	ENSG00000226945	ENSG00000226945
YKT6	ENSG00000106636	10652
CHD4	ENSG00000111642	1108
INTS6	ENSG00000102786	26512
RNASE10	ENSG00000182545	338879
PKNOX1	ENSG00000160199	5316
AC044849.2	ENSG00000272256	ENSG00000272256
TMEM50B	ENSG00000142188	757
SYT15	ENSG00000204176	83849
TBCE	ENSG00000116957	6905
CHKB-AS1	ENSG00000205559	100144603
ISOC1	ENSG00000066583	51015
MTCO1P12	ENSG00000237973	ENSG00000237973
IFIT3	ENSG00000119917	3437
CCDC153	ENSG00000248712	283152
ISCA1P4	ENSG00000259405	ENSG00000259405
DNAAF2	ENSG00000165506	55172
EIF4EBP2	ENSG00000148730	1979
TRMT11	ENSG00000066651	60487
LRRC45	ENSG00000169683	201255
DIS3L	ENSG00000166938	115752
STYX	ENSG00000198252	6815
MUC20	ENSG00000176945	200958
AC005632.2	ENSG00000261596	ENSG00000261596
GPANK1	ENSG00000204438	7918
COX7A2	ENSG00000112695	1347
MTCO2P2	ENSG00000267541	ENSG00000267541
CAPN1	ENSG00000014216	823
RYBP	ENSG00000163602	ENSG00000163602
PAWR	ENSG00000177425	5074
LBHD1	ENSG00000162194	79081
PPIAP40	ENSG00000230593	ENSG00000230593
SHC4	ENSG00000185634	399694
AL391244.3	ENSG00000272455	ENSG00000272455
LOC100507487	ENSG00000251432	100507487
PACRGL	ENSG00000163138	133015
AL590286.1	ENSG00000217557	ENSG00000217557
KBTBD3	ENSG00000182359	143879
TTF2	ENSG00000116830	8458
RMDN3	ENSG00000137824	55177
AC110079.1	ENSG00000260404	ENSG00000260404
C9orf85	ENSG00000155621	138241
AP000350.4	ENSG00000251357	ENSG00000251357
TRIM3	ENSG00000110171	10612
DIP2B	ENSG00000066084	57609
JMJD7	ENSG00000243789	100137047
SEC24B	ENSG00000138802	10427
CDADC1	ENSG00000102543	81602
GPR180	ENSG00000152749	160897
C7orf26	ENSG00000146576	79034
MFSD12	ENSG00000161091	126321
AC027796.3	ENSG00000262304	ENSG00000262304
AC089998.4	ENSG00000258170	ENSG00000258170
OSBPL7	ENSG00000006025	114881
NAT10	ENSG00000135372	55226
ARF3	ENSG00000134287	377
DHX33	ENSG00000005100	56919
ARPC1B	ENSG00000130429	10095
AL118558.3	ENSG00000271780	ENSG00000271780
EXOC3	ENSG00000180104	11336
IFI27L2	ENSG00000119632	83982
ENSG00000271770	ENSG00000271770	ENSG00000271770
COX5B	ENSG00000135940	1329
HCG11	ENSG00000228223	493812
AL353662.2	ENSG00000233668	ENSG00000233668
SCAMP1	ENSG00000085365	9522
TLK1	ENSG00000198586	9874
SLC15A2	ENSG00000163406	6565
CDK3	ENSG00000250506	1018
NUTM2A-AS1	ENSG00000223482	728190
EEF1A1P27	ENSG00000179460	ENSG00000179460
PLSCR1	ENSG00000188313	5359
ZNF528	ENSG00000167555	84436
KIF27	ENSG00000165115	55582
DDIAS	ENSG00000165490	220042
MMS22L	ENSG00000146263	253714
ENO1	ENSG00000074800	2023
ENSG00000236537	ENSG00000236537	ENSG00000236537
LINC00923	ENSG00000251209	91948
ENSG00000204169	ENSG00000204169	ENSG00000204169
ELN	ENSG00000049540	2006
ARF5	ENSG00000004059	381
LINC01023	ENSG00000272523	100652853
ARL2	ENSG00000213465	402
GPCPD1	ENSG00000125772	56261
PML	ENSG00000140464	5371
TRIP12	ENSG00000153827	9320
RN7SKP65	ENSG00000222210	ENSG00000222210
DARS	ENSG00000115866	1615
GDE1	ENSG00000006007	51573
RHBDD1	ENSG00000144468	84236
CDK2AP2	ENSG00000167797	10263
IFT74	ENSG00000096872	80173
ZDHHC11	ENSG00000188818	79844
RRAGC	ENSG00000116954	64121
NT5DC1	ENSG00000178425	221294
RAPGEF2	ENSG00000109756	9693
AC007686.1	ENSG00000243225	ENSG00000243225
LPXN	ENSG00000110031	9404
PAPOLG	ENSG00000115421	64895
BICD2	ENSG00000185963	23299
GPD1L	ENSG00000152642	23171
XRN2	ENSG00000088930	22803
PRKAR2A-AS1	ENSG00000224424	100506637
ZNF564	ENSG00000249709	163050
TNRC6A	ENSG00000090905	27327
RNF141	ENSG00000110315	50862
SRGAP3	ENSG00000196220	9901
GLYCTK	ENSG00000168237	132158
TIAF1	ENSG00000221995	9220
TGS1	ENSG00000137574	96764
LETM2	ENSG00000165046	137994
CCDC86	ENSG00000110104	79080
ZWILCH	ENSG00000174442	55055
POLDIP2	ENSG00000004142	26073
DUSP18	ENSG00000167065	150290
NBEAL2	ENSG00000160796	23218
FMC1	ENSG00000164898	154791
MCM3AP	ENSG00000160294	8888
SPTLC1	ENSG00000090054	10558
FAF1	ENSG00000185104	11124
YEATS2-AS1	ENSG00000233885	ENSG00000233885
ENSG00000260833	ENSG00000260833	ENSG00000260833
HAL	ENSG00000084110	3034
IFRD2	ENSG00000214706	7866
ELOCP28	ENSG00000105694	ENSG00000105694
CTDNEP1	ENSG00000175826	23399
SLC35D2	ENSG00000130958	11046
TNFAIP2	ENSG00000185215	7127
COG7	ENSG00000168434	91949
PPP3CC	ENSG00000120910	5533
NKTR	ENSG00000114857	4820
LYPLA2P2	ENSG00000269153	ENSG00000269153
ENSG00000265225	ENSG00000265225	ENSG00000265225
AL049869.1	ENSG00000259010	ENSG00000259010
KYAT1	ENSG00000171097	883
BRAF	ENSG00000157764	673
PAX8-AS1	ENSG00000189223	654433
ZBED3	ENSG00000132846	84327
RN7SL622P	ENSG00000265052	ENSG00000265052
AC145343.1	ENSG00000265055	ENSG00000265055
RAB26	ENSG00000167964	25837
AP002505.1	ENSG00000267177	ENSG00000267177
ENSG00000260841	ENSG00000260841	ENSG00000260841
AC145207.5	ENSG00000263731	ENSG00000263731
ITGA9-AS1	ENSG00000235257	101928153
FAF2	ENSG00000113194	23197
PRPF40A	ENSG00000196504	55660
RPL10P1	ENSG00000217026	ENSG00000217026
ZNF789	ENSG00000198556	285989
DDX49	ENSG00000105671	54555
CDC26	ENSG00000176386	246184
C5orf22	ENSG00000082213	55322
AL513302.1	ENSG00000237409	ENSG00000237409
METTL4	ENSG00000101574	64863
LIPT2	ENSG00000175536	387787
SAFB	ENSG00000160633	6294
ANKRD61	ENSG00000157999	100310846
HDAC6	ENSG00000094631	10013
AL022328.4	ENSG00000273253	ENSG00000273253
TMEM140	ENSG00000146859	55281
EMG1	ENSG00000126749	10436
PWWP2A	ENSG00000170234	114825
AC011477.2	ENSG00000267481	ENSG00000267481
MZF1-AS1	ENSG00000267858	100131691
MTOR	ENSG00000198793	2475
AP003108.2	ENSG00000256591	ENSG00000256591
WWP1	ENSG00000123124	11059
LLGL2	ENSG00000073350	3993
MORF4L2	ENSG00000123562	9643
TFB2M	ENSG00000162851	64216
TIMM17A	ENSG00000134375	10440
RAD52	ENSG00000002016	5893
XPO7	ENSG00000130227	23039
SAYSD1	ENSG00000112167	55776
KLHL15	ENSG00000174010	80311
FKBP15	ENSG00000119321	23307
PHF12	ENSG00000109118	57649
AC090621.1	ENSG00000267401	ENSG00000267401
SLC24A1	ENSG00000074621	9187
ORC5	ENSG00000164815	5001
AL354993.1	ENSG00000231703	ENSG00000231703
AC099524.1	ENSG00000261218	ENSG00000261218
KCNAB1	ENSG00000169282	7881
CATSPERB	ENSG00000133962	79820
MEF2C-AS2	ENSG00000245864	109729137
PPA1	ENSG00000180817	5464
TPD52L2	ENSG00000101150	7165
INO80B	ENSG00000115274	83444
BCL2L12	ENSG00000126453	83596
LRRC23	ENSG00000010626	10233
LOC100507551	ENSG00000269439	100507551
FGD4	ENSG00000139132	121512
PSMA7	ENSG00000101182	5688
ZNF12	ENSG00000164631	7559
VDAC1P8	ENSG00000229036	ENSG00000229036
LINC00566	ENSG00000261498	100861547
LAMP2	ENSG00000005893	3920
AL157935.1	ENSG00000227218	ENSG00000227218
RPS7P11	ENSG00000213326	ENSG00000213326
KPNA6	ENSG00000025800	23633
AC145350.2	ENSG00000260141	ENSG00000260141
AL353742.1	ENSG00000230030	ENSG00000230030
PPP1R12B	ENSG00000077157	4660
SPC24	ENSG00000161888	147841
NPLOC4	ENSG00000182446	55666
CCDC6	ENSG00000108091	8030
AL355472.2	ENSG00000235605	ENSG00000235605
SNORD14A	ENSG00000272034	26822
PARPBP	ENSG00000185480	55010
IMP3	ENSG00000177971	55272
CRYZL2P	ENSG00000242193	730102
GLRX3	ENSG00000108010	10539
SETX	ENSG00000107290	23064
DNAH17	ENSG00000187775	8632
SHMT2	ENSG00000182199	6472
LINC02363	ENSG00000180712	ENSG00000180712
TVP23A	ENSG00000166676	780776
DNMBP	ENSG00000107554	23268
POLD1	ENSG00000062822	5424
WASH3P	ENSG00000185596	ENSG00000185596
ACD	ENSG00000102977	65057
CXCL16	ENSG00000161921	58191
FAM192A	ENSG00000172775	80011
LMBR1	ENSG00000105983	64327
ING5	ENSG00000168395	84289
PTPN18	ENSG00000072135	26469
MFSD2A	ENSG00000168389	84879
SGF29	ENSG00000176476	112869
AL391095.1	ENSG00000224635	ENSG00000224635
SRP54-AS1	ENSG00000258704	ENSG00000258704
ENSG00000227821	ENSG00000227821	ENSG00000227821
TAB3	ENSG00000157625	257397
EIF4EP2	ENSG00000229944	ENSG00000229944
ENSG00000272091	ENSG00000272091	ENSG00000272091
REXO1	ENSG00000079313	57455
ACADM	ENSG00000117054	34
CARMIL1	ENSG00000079691	55604
OSBPL3	ENSG00000070882	26031
AL591806.3	ENSG00000270149	ENSG00000270149
NUP62CL	ENSG00000198088	54830
CDYL	ENSG00000153046	9425
MX2	ENSG00000183486	4600
ZNF343	ENSG00000088876	79175
ARPC4	ENSG00000241553	10093
MUM1	ENSG00000160953	84939
TMEM17	ENSG00000186889	200728
AC018946.1	ENSG00000259177	ENSG00000259177
RINT1	ENSG00000135249	60561
GORAB	ENSG00000120370	92344
TTC26	ENSG00000105948	79989
TMED8	ENSG00000100580	283578
TSPAN13	ENSG00000106537	27075
KLHL12	ENSG00000117153	59349
ZNF626	ENSG00000188171	199777
SPACA9	ENSG00000165698	11092
CPEB4	ENSG00000113742	80315
DBF4	ENSG00000006634	10926
LRRC27	ENSG00000148814	80313
R3HDM2	ENSG00000179912	22864
PDCD6IPP2	ENSG00000261377	ENSG00000261377
SEPT7P9	ENSG00000120555	ENSG00000120555
MTG1	ENSG00000148824	92170
MED10	ENSG00000133398	84246
ATP8B2	ENSG00000143515	57198
RN7SL339P	ENSG00000265740	ENSG00000265740
ENSG00000239163	ENSG00000239163	ENSG00000239163
FOPNL	ENSG00000133393	123811
SERTAD2	ENSG00000179833	9792
BPTF	ENSG00000171634	2186
DGCR5	ENSG00000237517	ENSG00000237517
NADK	ENSG00000008130	65220
MTFMT	ENSG00000103707	123263
AC112491.1	ENSG00000269888	ENSG00000269888
ACBD5	ENSG00000107897	91452
RBBP4	ENSG00000162521	5928
SLIRP	ENSG00000119705	81892
AC108673.2	ENSG00000273174	ENSG00000273174
ENSG00000203457	ENSG00000203457	ENSG00000203457
TOMM70	ENSG00000154174	9868
GOLGA6L17P	ENSG00000230373	642402
RPL23AP64	ENSG00000240970	ENSG00000240970
AC010422.3	ENSG00000269242	ENSG00000269242
AMMECR1-IT1	ENSG00000224142	ENSG00000224142
LAMB1	ENSG00000091136	3912
MFSD13A	ENSG00000138111	79847
RBM22	ENSG00000086589	55696
AC008735.2	ENSG00000267523	ENSG00000267523
FDXR	ENSG00000161513	2232
TEX10	ENSG00000136891	54881
GRIN2C	ENSG00000161509	2905
AC097468.2	ENSG00000235024	ENSG00000235024
HOPX	ENSG00000171476	84525
DDX11	ENSG00000013573	1663
TMPO-AS1	ENSG00000257167	100128191
AC004551.1	ENSG00000257452	ENSG00000257452
KIAA0368	ENSG00000136813	23392
MCC	ENSG00000171444	4163
PRKCB	ENSG00000166501	5579
MAGEH1	ENSG00000187601	28986
EFCAB14P1	ENSG00000228348	ENSG00000228348
AC002094.2	ENSG00000265618	ENSG00000265618
METTL26	ENSG00000130731	84326
RHNO1	ENSG00000171792	83695
CTPS1	ENSG00000171793	1503
NELFE	ENSG00000204356	7936
TK2	ENSG00000166548	7084
AGPAT1	ENSG00000204310	10554
MTHFR	ENSG00000177000	4524
ZNF347	ENSG00000197937	84671
IRAK1BP1	ENSG00000146243	134728
CDKN1B	ENSG00000111276	1027
LINC00641	ENSG00000258441	283624
AC080023.2	ENSG00000254719	ENSG00000254719
SPRYD3	ENSG00000167778	84926
AL121845.3	ENSG00000273154	ENSG00000273154
CIDEB	ENSG00000136305	27141
B4GAT1	ENSG00000174684	11041
MFSD14B	ENSG00000148110	84641
AC007541.1	ENSG00000260329	ENSG00000260329
AC073575.1	ENSG00000258323	ENSG00000258323
DNAJB5	ENSG00000137094	25822
AC244021.2	ENSG00000231429	ENSG00000231429
CRY2	ENSG00000121671	1408
SDF4	ENSG00000078808	51150
POLR3GL	ENSG00000121851	84265
GTF2A1	ENSG00000165417	2957
GPR89B	ENSG00000188092	51463
SNORD46	ENSG00000200913	94161
TUBGCP3	ENSG00000126216	10426
ZNF506	ENSG00000081665	440515
RASL11A	ENSG00000122035	387496
SATL1	ENSG00000184788	340562
VDAC2	ENSG00000165637	7417
FKBP5	ENSG00000096060	2289
ZNF410	ENSG00000119725	57862
DPP9	ENSG00000142002	91039
SLC25A16	ENSG00000122912	8034
TBCCD1	ENSG00000113838	55171
EFL1	ENSG00000140598	79631
AP005263.1	ENSG00000265257	ENSG00000265257
DESI2	ENSG00000121644	51029
SETMAR	ENSG00000170364	6419
ZSCAN25	ENSG00000197037	221785
TCF7L1	ENSG00000152284	83439
YME1L1	ENSG00000136758	10730
PCYOX1	ENSG00000116005	51449
PYGL	ENSG00000100504	5836
AP001107.1	ENSG00000245156	ENSG00000245156
CCDC191	ENSG00000163617	57577
AC004492.1	ENSG00000272072	ENSG00000272072
UTP15	ENSG00000164338	84135
PAQR6	ENSG00000160781	79957
KCNAB2	ENSG00000069424	8514
ZNF547	ENSG00000152433	284306
TRUB1	ENSG00000165832	142940
AC141586.2	ENSG00000260176	ENSG00000260176
UAP1L1	ENSG00000197355	91373
ENSG00000230195	ENSG00000230195	ENSG00000230195
ENSG00000263569	ENSG00000263569	ENSG00000263569
AC068631.1	ENSG00000197099	ENSG00000197099
MDN1	ENSG00000112159	23195
LOC728752	ENSG00000267309	728752
FAM71D	ENSG00000172717	161142
TRIM16	ENSG00000221926	10626
TRIM16L	ENSG00000221926	147166
HS6ST1	ENSG00000136720	9394
PARP10	ENSG00000178685	84875
TUBA4B	ENSG00000243910	80086
LOC107986927	ENSG00000245025	107986927
ERO1A	ENSG00000197930	30001
LOC100288778	ENSG00000226210	100288778
AC009630.3	ENSG00000264578	ENSG00000264578
RPS2P46	ENSG00000189343	ENSG00000189343
SLC25A46	ENSG00000164209	91137
LEKR1	ENSG00000197980	389170
CATIP	ENSG00000158428	375307
NIN	ENSG00000100503	51199
LTB4R	ENSG00000213903	1241
NPIPB4	ENSG00000185864	440345
WDR53	ENSG00000185798	348793
UBE2FP1	ENSG00000224080	ENSG00000224080
PGM1	ENSG00000079739	5236
MOB3A	ENSG00000172081	126308
MUTYH	ENSG00000132781	4595
NOP2	ENSG00000111641	4839
TRAF6	ENSG00000175104	7189
GSTZ1	ENSG00000100577	2954
CLBA1	ENSG00000140104	122616
IFT81	ENSG00000122970	28981
AGGF1	ENSG00000164252	55109
PHF21A	ENSG00000135365	51317
CFAP54	ENSG00000188596	144535
MSH5-SAPCD1	ENSG00000255152	ENSG00000255152
MED7	ENSG00000155868	9443
ENSG00000269175	ENSG00000269175	ENSG00000269175
SOS2	ENSG00000100485	6655
AC018638.2	ENSG00000230715	ENSG00000230715
SNORD38A	ENSG00000202031	94162
AFF1-AS1	ENSG00000163633	100506746
C4orf36	ENSG00000163633	132989
XBP1P1	ENSG00000249947	ENSG00000249947
OPN1SW	ENSG00000128617	611
SLC18B1	ENSG00000146409	116843
PSMB5	ENSG00000100804	5693
MRPS7	ENSG00000125445	51081
ATP6V1D	ENSG00000100554	51382
CASP9	ENSG00000132906	842
ACTL10	ENSG00000182584	170487
CCZ1B	ENSG00000146574	221960
ARSK	ENSG00000164291	153642
ENSG00000272098	ENSG00000272098	ENSG00000272098
FAM213A	ENSG00000122378	84293
DLGAP4	ENSG00000080845	22839
PKIB	ENSG00000135549	5570
SMURF1	ENSG00000198742	57154
AL392089.1	ENSG00000226403	ENSG00000226403
PPP3CB	ENSG00000107758	5532
SLC9B2	ENSG00000164038	133308
CLEC2D	ENSG00000069493	29121
LMNTD2	ENSG00000185522	256329
ZNF544	ENSG00000198131	27300
EIF4H	ENSG00000106682	7458
ENSG00000267885	ENSG00000267885	ENSG00000267885
AC027796.5	ENSG00000263338	ENSG00000263338
ATR	ENSG00000175054	545
CTNND1	ENSG00000198561	1500
SPSB3	ENSG00000162032	90864
LOC730183	ENSG00000261840	730183
WWC3	ENSG00000047644	55841
FAM89B	ENSG00000176973	23625
CEP41	ENSG00000106477	95681
BDH2	ENSG00000164039	56898
BOLA3	ENSG00000163170	388962
TMC8	ENSG00000167895	147138
ARMCX7P	ENSG00000204072	ENSG00000204072
ZNF417	ENSG00000173480	147687
ECT2	ENSG00000114346	1894
ENSG00000238997	ENSG00000238997	ENSG00000238997
SPATA33	ENSG00000167523	124045
LINC00352	ENSG00000227893	ENSG00000227893
ENSG00000265171	ENSG00000265171	ENSG00000265171
SNORD19	ENSG00000222345	ENSG00000222345
SPRTN	ENSG00000010072	83932
ACSL4	ENSG00000068366	2182
EPB41	ENSG00000159023	2035
MYO18A	ENSG00000196535	399687
MAPKAPK5-AS1	ENSG00000234608	51275
NFYB	ENSG00000120837	4801
EPS15	ENSG00000085832	2060
VPS26C	ENSG00000157538	10311
TBRG4	ENSG00000136270	9238
SH3GL1	ENSG00000141985	6455
STX18-AS1	ENSG00000247708	100507266
ARHGAP33	ENSG00000004777	115703
ENSG00000252092	ENSG00000252092	ENSG00000252092
LOC107984142	ENSG00000214401	107984142
KANSL1-AS1	ENSG00000214401	644246
VIPAS39	ENSG00000151445	63894
NREP	ENSG00000134986	9315
OSTF1	ENSG00000134996	26578
CBR1	ENSG00000159228	873
AC018511.1	ENSG00000227186	ENSG00000227186
SNORA2C	ENSG00000221491	677815
AL109761.1	ENSG00000244676	ENSG00000244676
AC022167.3	ENSG00000260979	ENSG00000260979
AC064807.1	ENSG00000228801	ENSG00000228801
ADNP-AS1	ENSG00000259456	101927631
AC138932.1	ENSG00000183458	ENSG00000183458
SMS	ENSG00000102172	6611
PSPN	ENSG00000125650	5623
POLR2B	ENSG00000047315	5431
CMTR2	ENSG00000180917	55783
PLCL2	ENSG00000154822	23228
FAM222B	ENSG00000173065	55731
AL035587.1	ENSG00000231113	ENSG00000231113
MRGBP	ENSG00000101189	55257
SPP2	ENSG00000072080	6694
LANCL2	ENSG00000132434	55915
HABP4	ENSG00000130956	22927
ENSG00000141720	ENSG00000141720	ENSG00000141720
ZNF593	ENSG00000142684	51042
ENSG00000266252	ENSG00000266252	ENSG00000266252
FAM219A	ENSG00000164970	203259
ARHGAP45	ENSG00000180448	23526
SLC50A1	ENSG00000169241	55974
FAM41C	ENSG00000230368	284593
JADE1	ENSG00000077684	79960
ACTR2	ENSG00000138071	10097
HMGB3	ENSG00000029993	3149
ENSG00000264347	ENSG00000264347	ENSG00000264347
AC073073.2	ENSG00000272604	ENSG00000272604
USMG5P1	ENSG00000231549	ENSG00000231549
CEP192	ENSG00000101639	55125
ELMOD3	ENSG00000115459	84173
EEF1A1P22	ENSG00000259612	ENSG00000259612
VPS54	ENSG00000143952	51542
LOC105369277	ENSG00000185905	105369277
C16orf54	ENSG00000185905	283897
OSGIN1	ENSG00000140961	29948
PPA2	ENSG00000138777	27068
TLR10	ENSG00000174123	81793
PRDM15	ENSG00000141956	63977
UFSP1	ENSG00000176125	402682
ENSG00000267427	ENSG00000267427	ENSG00000267427
AL078621.1	ENSG00000144158	ENSG00000144158
ACYP2	ENSG00000170634	98
AC087289.3	ENSG00000267426	ENSG00000267426
TRIM22	ENSG00000132274	10346
DNAAF5	ENSG00000164818	54919
YRDC	ENSG00000196449	79693
ZCCHC9	ENSG00000131732	84240
RNASEH1-AS1	ENSG00000234171	100506054
CABIN1	ENSG00000099991	23523
MYEF2	ENSG00000104177	50804
AC125232.1	ENSG00000231259	ENSG00000231259
AC109460.2	ENSG00000260853	ENSG00000260853
PEX11A	ENSG00000166821	8800
SSFA2	ENSG00000138434	6744
STARD10	ENSG00000214530	10809
NINJ1	ENSG00000131669	4814
ZNF433	ENSG00000197647	163059
RPL36AP21	ENSG00000240785	ENSG00000240785
C1RL	ENSG00000139178	51279
KIAA1024	ENSG00000169330	23251
PKD1P1	ENSG00000244257	ENSG00000244257
PINK1-AS	ENSG00000117242	100861548
UBTD2	ENSG00000168246	92181
ENSG00000211518	ENSG00000211518	ENSG00000211518
MRPS18C	ENSG00000163319	51023
LARS2	ENSG00000011376	23395
GNPDA2	ENSG00000163281	132789
LOC100507071	ENSG00000254064	100507071
KAT2B	ENSG00000114166	8850
ENSG00000265292	ENSG00000265292	ENSG00000265292
BCL2L2-PABPN1	ENSG00000258643	100529063
CHCHD2P6	ENSG00000235084	ENSG00000235084
ENSG00000238392	ENSG00000238392	ENSG00000238392
NPEPL1	ENSG00000215440	79716
AL590764.1	ENSG00000228427	ENSG00000228427
C9orf72	ENSG00000147894	203228
AC083841.2	ENSG00000253715	ENSG00000253715
DEAF1	ENSG00000177030	10522
MTX3	ENSG00000177034	345778
PCGF6	ENSG00000156374	84108
ZNF844	ENSG00000223547	284391
LARGE1	ENSG00000133424	9215
ENSG00000222235	ENSG00000222235	ENSG00000222235
B4GALT7	ENSG00000027847	11285
RPL23AP53	ENSG00000223508	ENSG00000223508
OAS3	ENSG00000111331	4940
CASP6	ENSG00000138794	839
LINC01679	ENSG00000237989	101928399
SELENOO	ENSG00000073169	83642
CALB1	ENSG00000104327	793
KDM5C	ENSG00000126012	8242
PSMD11	ENSG00000108671	5717
MRPS11	ENSG00000181991	64963
AC005154.3	ENSG00000244480	ENSG00000244480
RAB6B	ENSG00000154917	51560
OGG1	ENSG00000114026	4968
AC007066.2	ENSG00000261094	ENSG00000261094
TMEM79	ENSG00000163472	84283
DDX46	ENSG00000145833	9879
DPM3	ENSG00000179085	54344
CLASRP	ENSG00000104859	11129
SRD5A1	ENSG00000145545	ENSG00000145545
SNTB2	ENSG00000168807	6645
HDAC1	ENSG00000116478	3065
ST3GAL5	ENSG00000115525	8869
ESRRAP1	ENSG00000215572	ENSG00000215572
ENSG00000266772	ENSG00000266772	ENSG00000266772
TMEM256	ENSG00000205544	254863
SLC30A7	ENSG00000162695	148867
ZNF276	ENSG00000158805	92822
NUDCD2	ENSG00000170584	134492
AC007566.1	ENSG00000244055	ENSG00000244055
GNA11	ENSG00000088256	2767
AC104619.3	ENSG00000250144	ENSG00000250144
MBD1	ENSG00000141644	4152
AC108449.2	ENSG00000259366	ENSG00000259366
COQ10B	ENSG00000115520	80219
AK2	ENSG00000004455	204
PLEKHO1	ENSG00000023902	51177
HERC1	ENSG00000103657	8925
SREK1IP1	ENSG00000153006	285672
SNHG26	ENSG00000228649	ENSG00000228649
KRT10	ENSG00000186395	3858
ZMYND8	ENSG00000101040	23613
PFKFB4	ENSG00000114268	5210
RPP21	ENSG00000241370	79897
TRIM39-RPP21	ENSG00000241370	202658
CACYBPP2	ENSG00000177855	ENSG00000177855
USP24	ENSG00000162402	23358
TRNT1	ENSG00000072756	51095
RBM25	ENSG00000119707	58517
LOC101928111	ENSG00000222020	101928111
AC113367.1	ENSG00000244192	ENSG00000244192
NAPG	ENSG00000134265	8774
VASH1-AS1	ENSG00000258301	100506603
SNX1	ENSG00000028528	6642
MASP2	ENSG00000009724	10747
CSPP1	ENSG00000104218	79848
PUF60	ENSG00000179950	22827
TCAF2	ENSG00000170379	285966
FAM133CP	ENSG00000183055	ENSG00000183055
GPR19	ENSG00000183150	2842
AC108010.1	ENSG00000242588	ENSG00000242588
KIF18A	ENSG00000121621	81930
MAPK13	ENSG00000156711	5603
ZDHHC2	ENSG00000104219	51201
AAED1	ENSG00000158122	195827
CYP2R1	ENSG00000186104	120227
AGAP4	ENSG00000188234	119016
RPA1	ENSG00000132383	6117
VPS39	ENSG00000166887	23339
ENSG00000263626	ENSG00000263626	ENSG00000263626
NAIF1	ENSG00000171169	203245
GABPA	ENSG00000154727	2551
MCTS2P	ENSG00000101898	ENSG00000101898
LOC100507373	ENSG00000267169	100507373
GGCX	ENSG00000115486	2677
NEU1	ENSG00000204386	4758
ZNF692	ENSG00000171163	55657
GUCA1B	ENSG00000112599	2979
AP001347.1	ENSG00000224905	ENSG00000224905
AC005070.3	ENSG00000272918	ENSG00000272918
CARD16	ENSG00000204397	114769
SOGA1	ENSG00000149639	140710
MYO9A	ENSG00000066933	4649
ENSG00000263459	ENSG00000263459	ENSG00000263459
YWHAE	ENSG00000108953	7531
AC068533.4	ENSG00000249319	ENSG00000249319
AC109322.1	ENSG00000255224	ENSG00000255224
AC132938.3	ENSG00000265458	ENSG00000265458
